sku,qty
A-2200,2
A-2203,9
A-2248,12
A-2630,4
A-5590,4
A-2563,8
A-6163,1
A-004,1
A-111,2
A-196,2
A-197,1
A-7064,1
A-264,1
A-262,1
A-261,1
A-553,2
A-3931,1
A-7001,1
A-2956,1
