sku,qty
A-2200,18
A-2275,9
A-2248,7
A-585,2
A-553,6
A-4170,2
A-3931,3
A-2563,8
A-197,1
A-196,2
A-2956,1
A-2864,1
A-037,1
A-6163,1
A-001,2
A-004,1
