sku,qty
A-2200,8
A-2277,2
A-2248,2
A-2203,3
A-2329,2
A-1078,1
A-4111,1
A-5459,5
A-531,1
A-3931,2
A-2563,6
A-2956,1
A-197,1
A-196,2
A-111,2
A-5590,1
A-7792,2
A-1553,1
A-032,1
A-037,1
A-999,1
A-2864,1
