sku,qty
A-2200,2
A-2771,3
A-2248,2
A-553,4
A-3931,3
A-546,1
A-1555,1
A-2563,3
A-197,1
A-196,2
A-2956,1
A-5590,3
A-7001,1
A-037,1
A-6162,1
A-001,2
A-004,1
A-6504,1
