sku,qty
A-2248,8
A-2200,3
A-2203,4
A-2182,2
A-2775,3
A-5590,3
A-261,11
A-6331,1
A-6087,2
A-2563,6
A-197,1
A-196,2
A-2956,1
A-553,5
A-3931,2
A-7001,1
A-6163,1
A-037,1
